client_id,job_type,location,age,income,expenses,debt,seniority_months,payment_consistency,loan_amount,employment_type,mobile_payment_ratio,ledger_quality_score,outcome,outcome_label,risk_score,risk_narrative,is_fraud,timestamp
TND-00000,Mechanic,Sfax,22,1641.15,1288.58,1443.02,12,0.3,2846.14,informal,0.394,0.481,0,Defaulter,0.156,High debt-to-income ratio (87.9%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2024-06-29T17:23:46.804539
TND-00001,Freelance Designer,Bizerte,35,4858.64,3109.12,1290.2,58,0.672,15000.0,mixed,0.793,0.924,1,Good Payer,0.512,Seasonal income fluctuations typical for Freelance Designer sector. Ledger legible but shows recording gaps. Generally reliable with occasional liquidity constraints.,0,2025-01-22T17:23:46.804584
TND-00002,Tailor,Ariana,23,1804.0,1331.37,1915.27,24,0.503,5309.86,informal,0.963,0.649,0,Defaulter,0.375,High debt-to-income ratio (106.2%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2024-03-18T17:23:46.804606
TND-00003,Freelance Designer,Ariana,26,3015.15,2437.83,688.32,55,0.649,9812.95,mixed,0.54,0.764,0,Late Payer,0.636,Moderate documentation quality (score: 0.76). Income verifiable but irregular. Payment history shows delays during low season.,0,2024-07-27T17:23:46.804624
TND-00004,Delivery Driver,Gabes,31,1360.0,890.67,839.17,60,0.529,4834.13,informal,0.862,0.894,1,Good Payer,0.581,Acceptable risk profile for informal Delivery Driver. Limited savings buffer ($469/month) may cause occasional late payments.,0,2025-11-18T17:23:46.804642
TND-00005,Freelance Designer,Ben Arous,34,4784.4,3187.46,1896.51,84,0.618,14168.83,mixed,0.829,0.839,1,Good Payer,0.707,Strong informal credit history. Regular mobile money transactions align with declared income. Active business with repeat customer evidence.,0,2025-01-19T17:23:46.804659
TND-00006,Freelance Designer,Sousse,53,2371.2,1517.56,2206.69,64,0.433,7089.23,mixed,0.64,0.636,0,Defaulter,0.348,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2024-07-07T17:23:46.804675
TND-00007,Market Vendor,Sfax,64,1694.78,1141.22,3.33,114,0.797,5591.4,informal,0.51,0.855,1,Good Payer,0.916,High-quality documentation provided. Mobile payment usage (51%) indicates strong digital literacy. Reliable income patterns observed.,0,2024-08-23T17:23:46.804700
TND-00008,Carpenter,Ariana,61,2855.56,2394.03,5662.65,65,0.349,7771.45,informal,0.357,0.643,0,Defaulter,0.156,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2025-03-16T17:23:46.804719
TND-00009,Freelance Designer,Tunis,36,5623.0,3471.09,7070.79,113,0.395,15000.0,mixed,0.311,0.925,0,Defaulter,0.416,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2024-08-02T17:23:46.804735
TND-00010,Electrician,Bizerte,34,3296.82,2306.94,1653.74,119,0.719,8666.39,informal,0.69,1.0,0,Late Payer,0.56,Acceptable risk profile for informal Electrician. Limited savings buffer ($990/month) may cause occasional late payments.,0,2026-01-03T17:23:46.804751
TND-00011,Electrician,Gabes,58,1248.61,1031.79,178.6,29,0.541,3961.14,informal,0.492,0.587,0,Defaulter,0.435,Unverifiable income sources for Electrician. Poor ledger quality (score: 0.59). Multiple inconsistencies in documentation.,0,2024-06-19T17:23:46.804766
TND-00012,Electrician,Nabeul,36,2938.28,2079.61,1581.78,101,0.579,9353.76,informal,0.374,0.701,1,Good Payer,0.676,Steady cash flow verified via handwritten ledger. 101 months operational history as Electrician with consistent client base.,0,2025-11-23T17:23:46.804782
TND-00013,Private Tutor,Ben Arous,27,1350.93,904.63,991.83,32,0.497,4935.46,mixed,0.581,0.691,0,Defaulter,0.417,High debt-to-income ratio (73.4%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2024-03-28T17:23:46.804796
TND-00014,Artisan,Tunis,26,3053.75,1995.43,190.36,60,0.694,12102.84,informal,0.397,0.793,1,Good Payer,0.605,Acceptable risk profile for informal Artisan. Limited savings buffer ($1058/month) may cause occasional late payments.,0,2024-11-17T17:23:46.804810
TND-00015,Delivery Driver,Nabeul,30,1107.48,681.36,50.41,25,0.733,4206.72,informal,0.313,0.83,1,Good Payer,0.685,Steady cash flow verified via handwritten ledger. 25 months operational history as Delivery Driver with consistent client base.,0,2024-08-22T17:23:46.804826
TND-00016,Carpenter,Sousse,25,1324.09,1089.16,681.21,39,0.497,3373.86,informal,0.448,0.557,0,Defaulter,0.444,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2025-05-02T17:23:46.804839
TND-00017,Freelance Designer,Ben Arous,36,3563.14,2965.44,66.67,34,0.693,10359.78,mixed,0.649,0.714,0,Late Payer,0.501,Acceptable risk profile for informal Freelance Designer. Limited savings buffer ($598/month) may cause occasional late payments.,0,2025-09-11T17:23:46.804852
TND-00018,Tailor,Sfax,36,1539.6,1159.19,1921.22,48,0.351,5454.43,informal,0.763,0.872,0,Defaulter,0.239,High debt-to-income ratio (124.8%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2025-09-09T17:23:46.804868
TND-00019,Street Food Vendor,Sfax,27,853.95,555.84,295.46,71,0.689,3213.72,informal,0.684,0.936,1,Good Payer,0.731,Steady cash flow verified via handwritten ledger. 71 months operational history as Street Food Vendor with consistent client base.,0,2024-04-15T17:23:46.804882
TND-00020,Private Tutor,Ariana,23,1489.18,1169.46,880.06,1,0.39,2513.9,mixed,0.732,0.533,0,Late Payer,0.451,Seasonal income fluctuations typical for Private Tutor sector. Ledger legible but shows recording gaps. Generally reliable with occasional liquidity constraints.,0,2025-01-11T17:23:46.804895
TND-00021,Electrician,Sousse,48,1268.94,1034.41,487.9,17,0.547,2229.5,informal,0.701,0.841,1,Good Payer,0.564,Moderate documentation quality (score: 0.84). Income verifiable but irregular. Payment history shows delays during low season.,0,2025-05-27T17:23:46.804909
TND-00022,Plumber,Sousse,47,1593.12,1275.38,2405.84,4,0.349,5525.62,informal,0.407,0.875,0,Defaulter,0.135,High debt-to-income ratio (151.0%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2024-09-30T17:23:46.804926
TND-00023,Freelance Designer,Gabes,50,3265.62,2498.23,980.09,45,0.51,11211.92,mixed,0.67,0.624,1,Good Payer,0.456,Acceptable risk profile for informal Freelance Designer. Limited savings buffer ($767/month) may cause occasional late payments.,0,2025-12-27T17:23:46.804939
TND-00025,Artisan,Gabes,44,1286.37,985.16,612.29,56,0.597,4074.22,informal,0.747,0.852,1,Good Payer,0.467,Moderate documentation quality (score: 0.85). Income verifiable but irregular. Payment history shows delays during low season.,0,2025-07-12T17:23:46.804968
TND-00026,Private Tutor,Bizerte,64,1618.4,971.2,580.01,96,0.682,5076.54,mixed,0.311,0.914,1,Good Payer,0.64,Moderate documentation quality (score: 0.91). Income verifiable but irregular. Payment history shows delays during low season.,0,2024-08-19T17:23:46.804981
TND-00027,Taxi Driver,Sousse,63,1653.46,1330.39,2017.73,11,0.3,3303.33,informal,0.459,0.595,0,Defaulter,0.07,Unverifiable income sources for Taxi Driver. Poor ledger quality (score: 0.60). Multiple inconsistencies in documentation.,0,2024-09-25T17:23:46.804996
TND-00028,Electrician,Sfax,50,2926.53,2048.31,1223.25,54,0.678,10685.04,informal,0.591,0.727,1,Good Payer,0.676,Strong informal credit history. Regular mobile money transactions align with declared income. Active business with repeat customer evidence.,0,2025-06-14T17:23:46.805011
TND-00029,Plumber,Nabeul,24,1966.5,1408.33,1559.56,36,0.388,6662.75,informal,0.374,0.557,0,Defaulter,0.313,"High-risk profile: Minimal business seniority, poor record-keeping, excessive debt burden. Approval not recommended without guarantor.",0,2024-07-12T17:23:46.805024
TND-00030,Taxi Driver,Sousse,51,1899.75,1509.2,553.59,58,0.584,6238.52,informal,0.646,0.684,1,Good Payer,0.46,Acceptable risk profile for informal Taxi Driver. Limited savings buffer ($391/month) may cause occasional late payments.,0,2024-07-20T17:23:46.805037
TND-00031,Carpenter,Sousse,30,2007.0,1408.71,1137.09,30,0.465,5118.57,informal,0.729,0.507,0,Late Payer,0.528,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2024-09-23T17:23:46.805050
TND-00032,Market Vendor,Ben Arous,40,1402.76,1103.8,1019.13,97,0.462,2873.63,informal,0.8,0.852,0,Defaulter,0.419,High debt-to-income ratio (72.7%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2024-12-22T17:23:46.805064
TND-00033,Tailor,Bizerte,31,2402.65,1986.35,1935.96,108,0.421,6178.49,informal,0.897,0.937,0,Late Payer,0.524,Seasonal income fluctuations typical for Tailor sector. Ledger legible but shows recording gaps. Generally reliable with occasional liquidity constraints.,0,2025-05-03T17:23:46.805078
TND-00034,Private Tutor,Ben Arous,34,1830.13,1533.28,1640.68,59,0.408,6172.22,mixed,0.808,0.687,0,Defaulter,0.185,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2025-06-09T17:23:46.805092
TND-00035,Mechanic,Sfax,62,1089.57,695.25,485.52,6,0.536,2228.08,informal,0.276,0.425,1,Good Payer,0.506,Moderate documentation quality (score: 0.43). Income verifiable but irregular. Payment history shows delays during low season.,0,2024-05-14T17:23:46.805105
TND-00036,Electrician,Sfax,31,1541.17,1274.55,1369.3,40,0.386,4593.05,informal,0.864,0.788,0,Defaulter,0.409,Unverifiable income sources for Electrician. Poor ledger quality (score: 0.79). Multiple inconsistencies in documentation.,0,2025-10-12T17:23:46.805118
TND-00037,Delivery Driver,Ariana,64,2012.95,1382.5,741.06,77,0.673,4736.63,informal,0.602,0.984,1,Good Payer,0.724,Strong informal credit history. Regular mobile money transactions align with declared income. Active business with repeat customer evidence.,0,2025-10-08T17:23:46.805131
TND-00038,Private Tutor,Ben Arous,61,2575.23,2166.72,1654.45,115,0.517,6975.64,mixed,0.385,1.0,1,Good Payer,0.479,Acceptable risk profile for informal Private Tutor. Limited savings buffer ($409/month) may cause occasional late payments.,0,2025-05-18T17:23:46.805144
TND-00039,Carpenter,Ariana,49,2211.13,1599.92,1025.09,32,0.529,4744.83,informal,0.572,0.648,0,Defaulter,0.4,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2024-07-04T17:23:46.805157
TND-00040,Market Vendor,Gabes,26,1426.13,1025.42,1068.38,16,0.369,3188.25,informal,0.657,0.56,0,Defaulter,0.289,Unverifiable income sources for Market Vendor. Poor ledger quality (score: 0.56). Multiple inconsistencies in documentation.,0,2025-03-17T17:23:46.805169
TND-00041,Mechanic,Ben Arous,51,2704.4,1860.5,876.57,71,0.617,8933.22,informal,0.726,0.853,0,Late Payer,0.536,Moderate documentation quality (score: 0.85). Income verifiable but irregular. Payment history shows delays during low season.,0,2025-06-17T17:23:46.805182
TND-00042,Delivery Driver,Nabeul,38,1807.91,1130.18,277.33,93,0.651,2775.82,informal,0.564,0.774,1,Good Payer,0.68,Established Delivery Driver with 93 months seniority. Ledger quality score 0.77 shows organized financial management. Low debt-to-income ratio.,0,2025-12-09T17:23:46.805199
TND-00043,Market Vendor,Ariana,65,1341.75,997.62,689.07,17,0.5,2184.97,informal,0.386,0.879,1,Good Payer,0.582,Seasonal income fluctuations typical for Market Vendor sector. Ledger legible but shows recording gaps. Generally reliable with occasional liquidity constraints.,0,2025-11-19T17:23:46.805212
TND-00044,Private Tutor,Nabeul,25,1049.14,651.82,390.29,37,0.7,3137.25,mixed,0.836,0.967,1,Good Payer,0.641,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2024-10-28T17:23:46.805225
TND-00045,Street Food Vendor,Bizerte,40,1480.23,1170.39,566.26,73,0.492,3107.98,informal,0.804,0.632,0,Late Payer,0.508,Seasonal income fluctuations typical for Street Food Vendor sector. Ledger legible but shows recording gaps. Generally reliable with occasional liquidity constraints.,0,2024-12-02T17:23:46.805238
TND-00046,Taxi Driver,Nabeul,39,1504.71,929.6,297.08,5,0.762,4475.72,informal,0.416,0.842,1,Good Payer,0.723,High-quality documentation provided. Mobile payment usage (42%) indicates strong digital literacy. Reliable income patterns observed.,0,2024-11-15T17:23:46.805250
TND-00047,Carpenter,Gabes,62,1672.67,1132.23,1810.43,20,0.316,3029.01,informal,0.22,0.533,0,Defaulter,0.302,"High-risk profile: Minimal business seniority, poor record-keeping, excessive debt burden. Approval not recommended without guarantor.",0,2025-04-21T17:23:46.805263
TND-00049,Plumber,Nabeul,54,2841.75,2156.02,316.28,84,0.643,6630.57,informal,0.299,0.903,1,Good Payer,0.707,High-quality documentation provided. Mobile payment usage (30%) indicates strong digital literacy. Reliable income patterns observed.,0,2025-02-21T17:23:46.805290
TND-00050,Private Tutor,Nabeul,39,2193.75,1488.74,1870.86,85,0.479,6112.86,mixed,0.573,0.84,1,Good Payer,0.57,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2025-11-30T17:23:46.805306
TND-00051,Freelance Designer,Ben Arous,60,4972.15,3665.99,4342.53,97,0.485,8967.6,mixed,0.537,0.744,0,Late Payer,0.551,Moderate documentation quality (score: 0.74). Income verifiable but irregular. Payment history shows delays during low season.,0,2025-03-12T17:23:46.805319
TND-00052,Artisan,Tunis,56,1330.71,1113.49,323.69,53,0.657,2967.02,informal,0.606,0.589,1,Good Payer,0.617,Mixed signals: Good seniority but inconsistent record-keeping. Requires monitoring but shows repayment intent.,0,2024-09-28T17:23:46.805334
TND-00053,Freelance Designer,Nabeul,56,3314.12,2101.57,1182.6,19,0.723,7787.15,mixed,0.491,0.821,1,Good Payer,0.671,Established Freelance Designer with 19 months seniority. Ledger quality score 0.82 shows organized financial management. Low debt-to-income ratio.,0,2026-01-22T17:23:46.805347
TND-00054,Street Food Vendor,Ariana,58,1542.19,1058.37,1125.17,75,0.496,3553.88,informal,0.268,0.857,0,Defaulter,0.359,Unverifiable income sources for Street Food Vendor. Poor ledger quality (score: 0.86). Multiple inconsistencies in documentation.,0,2024-06-18T17:23:46.805360
TND-00055,Private Tutor,Gabes,47,1487.27,1035.92,1775.33,6,0.542,4072.64,mixed,0.606,0.821,0,Defaulter,0.199,Critical financial stress indicators: Debt exceeds sustainable levels. No digital payment trail. Documentation quality insufficient for approval.,0,2025-10-14T17:23:46.805378
TND-00057,Private Tutor,Ben Arous,61,2488.62,1885.85,5416.54,92,0.4,6432.9,mixed,0.207,0.664,0,Defaulter,0.211,High debt-to-income ratio (217.7%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2024-10-27T17:23:46.805405
TND-00058,Plumber,Ariana,22,1871.77,1191.18,1434.87,1,0.542,3603.07,informal,0.501,0.59,0,Defaulter,0.254,"High-risk profile: Minimal business seniority, poor record-keeping, excessive debt burden. Approval not recommended without guarantor.",0,2024-04-30T17:23:46.805417
TND-00059,Mechanic,Gabes,52,3263.58,2166.46,954.61,117,0.736,10423.95,informal,0.447,0.819,1,Good Payer,0.578,Acceptable risk profile for informal Mechanic. Limited savings buffer ($1097/month) may cause occasional late payments.,0,2024-06-02T17:23:46.805433
TND-00060,Street Food Vendor,Bizerte,65,1099.96,792.86,525.21,33,0.545,4379.75,informal,0.264,0.675,0,Defaulter,0.411,"High-risk profile: Minimal business seniority, poor record-keeping, excessive debt burden. Approval not recommended without guarantor.",0,2025-04-18T17:23:46.805446
TND-00061,Market Vendor,Tunis,59,1551.2,1019.96,531.19,96,0.633,3298.73,informal,0.61,1.0,1,Good Payer,0.711,High-quality documentation provided. Mobile payment usage (61%) indicates strong digital literacy. Reliable income patterns observed.,0,2024-04-21T17:23:46.805459
TND-00063,Taxi Driver,Ariana,42,1765.02,1158.57,1754.62,103,0.447,6379.42,informal,0.285,1.0,0,Defaulter,0.43,High debt-to-income ratio (99.4%). Uploaded receipts illegible or missing dates. Limited verifiable transaction history.,0,2024-12-16T17:23:46.805487
TND-00064,Market Vendor,Ariana,55,1136.0,789.81,655.82,16,0.555,3042.99,informal,0.57,0.571,1,Good Payer,0.467,Moderate documentation quality (score: 0.57). Income verifiable but irregular. Payment history shows delays during low season.,0,2024-04-01T17:23:46.805501
TND-00065,Carpenter,Nabeul,65,2707.46,1830.49,314.01,39,0.79,4979.46,informal,0.239,0.971,1,Good Payer,0.678,Strong informal credit history. Regular mobile money transactions align with declared income. Active business with repeat customer evidence.,0,2024-06-02T17:23:46.805514
TND-00066,Delivery Driver,Sousse,47,1081.35,724.43,331.15,84,0.685,2260.33,informal,0.558,1.0,1,Good Payer,0.608,Acceptable risk profile for informal Delivery Driver. Limited savings buffer ($357/month) may cause occasional late payments.,0,2025-11-23T17:23:46.805530
TND-00067,Private Tutor,Ariana,33,1846.4,1556.1,283.31,16,0.707,6402.29,mixed,0.4,0.76,0,Late Payer,0.491,Moderate documentation quality (score: 0.76). Income verifiable but irregular. Payment history shows delays during low season.,0,2025-05-31T17:23:46.805546
