client_id,job_type,location,age,income,expenses,debt,seniority_months,payment_consistency,loan_amount,employment_type,mobile_payment_ratio,ledger_quality_score,outcome,outcome_label,risk_score,risk_narrative,is_fraud,timestamp
FRAUD-00024,Carpenter,Ariana,24,9887.0,2127.53,449.75,4,0.98,16311.0,informal,0.952,0.961,0,Fraud,0.0,Document forgery indicators: Invoice templates match known fake document database. Metadata shows recent creation despite claimed historical dates.,1,2026-01-24T17:23:46.804953
FRAUD-00048,Artisan,Nabeul,23,8539.0,2221.68,293.56,1,0.955,19424.0,informal,0.988,0.997,0,Fraud,0.0,Document inconsistencies detected: ID name mismatch with uploaded invoices. Sequential invoice numbers across different claimed vendors.,1,2025-11-12T17:23:46.805274
FRAUD-00056,Taxi Driver,Sfax,21,6180.0,1307.05,311.63,1,0.973,15546.0,informal,0.954,0.998,0,Fraud,0.0,Document forgery indicators: Invoice templates match known fake document database. Metadata shows recent creation despite claimed historical dates.,1,2025-10-30T17:23:46.805390
FRAUD-00062,Carpenter,Tunis,20,7988.0,2075.71,66.08,3,0.966,13289.0,informal,0.999,0.953,0,Fraud,0.0,Velocity fraud pattern: Multiple applications from different IDs with identical handwriting in ledgers. Same phone number across profiles.,1,2026-01-03T17:23:46.805473
FRAUD-00083,Artisan,Sfax,20,8020.0,2203.53,253.53,6,0.993,19733.0,informal,0.093,0.988,0,Fraud,0.0,Document forgery indicators: Invoice templates match known fake document database. Metadata shows recent creation despite claimed historical dates.,1,2025-11-28T17:23:46.805764
FRAUD-00097,Street Food Vendor,Bizerte,24,10299.0,1840.08,399.67,1,0.993,12039.0,informal,0.97,0.947,0,Fraud,0.0,Velocity fraud pattern: Multiple applications from different IDs with identical handwriting in ledgers. Same phone number across profiles.,1,2025-12-06T17:23:46.805947
FRAUD-00114,Freelance Designer,Bizerte,26,10845.0,2168.52,69.89,5,0.973,18446.0,informal,0.966,0.969,0,Fraud,0.0,Velocity fraud pattern: Multiple applications from different IDs with identical handwriting in ledgers. Same phone number across profiles.,1,2025-11-07T17:23:46.806163
FRAUD-00146,Mechanic,Ariana,22,11966.0,2359.37,464.44,5,0.957,16525.0,informal,0.978,0.986,0,Fraud,0.0,Document forgery indicators: Invoice templates match known fake document database. Metadata shows recent creation despite claimed historical dates.,1,2025-10-30T17:23:46.806585
FRAUD-00174,Mechanic,Sousse,24,10324.0,1802.75,308.04,6,0.961,16745.0,informal,0.088,0.98,0,Fraud,0.0,Document inconsistencies detected: ID name mismatch with uploaded invoices. Sequential invoice numbers across different claimed vendors.,1,2026-01-07T17:23:46.806946
FRAUD-00194,Artisan,Ben Arous,23,9891.0,1808.6,383.42,1,0.99,15856.0,informal,0.2,0.958,0,Fraud,0.0,Synthetic identity suspected: Perfect payment history with zero verifiable transaction trail. All documents uploaded within 24 hours.,1,2025-12-24T17:23:46.807201
FRAUD-00213,Street Food Vendor,Bizerte,22,6579.0,1850.52,352.32,1,0.962,15904.0,informal,0.991,0.957,0,Fraud,0.0,Document inconsistencies detected: ID name mismatch with uploaded invoices. Sequential invoice numbers across different claimed vendors.,1,2025-11-04T17:23:46.807446
FRAUD-00223,Mechanic,Sousse,21,7240.0,1313.39,64.7,5,0.988,11442.0,informal,0.971,0.959,0,Fraud,0.0,Income fabrication detected: Declared income 300% above sector average. Bank statement shows different account holder name.,1,2025-11-24T17:23:46.807575
FRAUD-00227,Market Vendor,Sfax,25,5948.0,1264.05,102.75,1,0.977,12508.0,informal,0.95,0.958,0,Fraud,0.0,Document inconsistencies detected: ID name mismatch with uploaded invoices. Sequential invoice numbers across different claimed vendors.,1,2025-11-01T17:23:46.807626
FRAUD-00234,Market Vendor,Sfax,22,10553.0,2413.71,216.42,6,0.994,11560.0,informal,0.974,0.962,0,Fraud,0.0,Document forgery indicators: Invoice templates match known fake document database. Metadata shows recent creation despite claimed historical dates.,1,2026-01-05T17:23:46.807717
FRAUD-00261,Taxi Driver,Sfax,21,6956.0,1928.18,474.36,5,0.957,19279.0,informal,0.998,0.933,0,Fraud,0.0,Document inconsistencies detected: ID name mismatch with uploaded invoices. Sequential invoice numbers across different claimed vendors.,1,2025-12-10T17:23:46.808059
FRAUD-00273,Electrician,Tunis,26,5746.0,1571.46,185.42,5,0.972,13633.0,informal,0.986,0.925,0,Fraud,0.0,Document forgery indicators: Invoice templates match known fake document database. Metadata shows recent creation despite claimed historical dates.,1,2025-11-07T17:23:46.808215
FRAUD-00285,Street Food Vendor,Ariana,19,5810.0,1473.31,224.93,2,0.991,11577.0,informal,0.968,0.958,0,Fraud,0.0,Document inconsistencies detected: ID name mismatch with uploaded invoices. Sequential invoice numbers across different claimed vendors.,1,2025-12-11T17:23:46.808376
FRAUD-00292,Private Tutor,Ariana,21,11679.0,3080.27,473.48,3,0.964,18059.0,informal,0.95,0.963,0,Fraud,0.0,Document forgery indicators: Invoice templates match known fake document database. Metadata shows recent creation despite claimed historical dates.,1,2025-12-18T17:23:46.808471
FRAUD-00302,Street Food Vendor,Ariana,21,10226.0,2309.99,160.35,1,0.981,13912.0,informal,0.998,0.949,0,Fraud,0.0,Document forgery indicators: Invoice templates match known fake document database. Metadata shows recent creation despite claimed historical dates.,1,2025-12-31T17:23:46.808594
